listing_id,date
7441144,2015-08-10
7441144,2015-10-28
7441144,2015-11-14
7441144,2016-06-11
7441144,2016-06-25
12233830,2016-04-15
12233830,2016-04-19
12233830,2016-04-21
12233830,2016-04-28
12233830,2016-05-15
12233830,2016-05-20
12233830,2016-05-23
12233830,2016-06-06
12233830,2016-06-10
12233830,2016-06-19
12233830,2016-06-22
12233830,2016-06-23
12233830,2016-06-26
12233830,2016-06-29
12233830,2016-06-30
12233830,2016-07-04
12233830,2016-07-04
12233830,2016-07-07
12233830,2016-07-09
12233830,2016-07-18
12233830,2016-07-22
12233830,2016-08-01
12233830,2016-08-02
12233830,2016-08-04
12233830,2016-08-07
12233830,2016-08-11
12233830,2016-08-17
12233830,2016-08-22
12233830,2016-08-26
12233830,2016-08-29
12233830,2016-09-05
12233830,2016-09-06
12233830,2016-09-11
12233830,2016-09-13
12233830,2016-09-14
12233830,2016-09-18
12233830,2016-09-25
12233830,2016-10-01
12233830,2016-10-03
12233830,2016-10-08
12233830,2016-10-11
12233830,2016-10-13
12233830,2016-10-16
12233830,2016-10-21
12233830,2016-10-24
12233830,2016-10-26
12233830,2016-11-14
12233830,2016-11-21
12233830,2016-11-27
12233830,2016-12-03
12233830,2016-12-06
12233830,2016-12-14
12233830,2016-12-27
12233830,2017-02-06
12233830,2017-03-04
12233830,2017-03-20
12233830,2017-03-25
12233830,2017-04-04
12233830,2017-04-21
12233830,2017-04-24
12233830,2017-05-05
12233830,2017-05-25
12233830,2017-05-28
12233830,2017-06-16
12233830,2017-06-20
12233830,2017-07-09
12233830,2017-07-18
12233830,2017-07-24
12233830,2017-07-30
12233830,2017-08-03
12233830,2017-08-22
12233830,2017-08-25
12233830,2017-08-30
12233830,2017-09-14
12233830,2017-09-18
14586440,2016-09-05
14586440,2016-09-09
14586440,2016-09-11
14586440,2016-09-13
14586440,2016-09-15
14586440,2016-09-18
14586440,2016-09-26
14586440,2016-09-29
14586440,2016-09-30
14586440,2016-10-13
14586440,2016-10-16
14586440,2016-10-19
14586440,2016-10-22
14586440,2016-10-26
14586440,2016-10-28
14586440,2016-10-30
14586440,2016-10-31
14586440,2016-11-01
14586440,2016-11-04
14586440,2016-11-05
14586440,2016-11-07
14586440,2016-11-16
14586440,2016-11-20
14586440,2016-11-25
14586440,2016-11-28
14586440,2016-11-29
14586440,2016-12-03
14586440,2016-12-09
14586440,2016-12-15
14586440,2016-12-17
14586440,2016-12-22
14586440,2016-12-28
14586440,2016-12-31
14586440,2017-01-02
14586440,2017-01-10
14586440,2017-01-14
14586440,2017-01-16
14586440,2017-01-19
14586440,2017-01-20
14586440,2017-01-23
14586440,2017-01-25
14586440,2017-01-28
14586440,2017-01-30
14586440,2017-02-02
14586440,2017-02-06
14586440,2017-02-14
14586440,2017-02-20
14586440,2017-02-22
14586440,2017-02-25
14586440,2017-03-03
14586440,2017-03-05
14586440,2017-03-07
14586440,2017-03-11
14586440,2017-03-14
14586440,2017-03-16
14586440,2017-03-21
14586440,2017-03-24
14586440,2017-03-30
14586440,2017-04-01
14586440,2017-04-09
14586440,2017-04-13
14586440,2017-04-18
14586440,2017-04-25
14586440,2017-04-27
14586440,2017-04-30
14586440,2017-05-01
14586440,2017-05-07
14586440,2017-05-13
14586440,2017-05-14
14586440,2017-05-17
